CustomerID,TotalValueSum,TotalValueMean,QuantitySum,QuantityMean,Region,FavoriteCategory,Cluster
C0001,3354.5200000000004,670.9040000000001,12,2.4,South America,Electronics,2
C0002,1862.74,465.685,10,2.5,Asia,Clothing,1
C0003,2725.38,681.345,14,3.5,South America,Home Decor,3
C0004,5354.88,669.36,23,2.875,South America,Books,0
C0005,2034.24,678.08,7,2.3333333333333335,Asia,Electronics,1
C0006,4227.57,1056.8925,12,3.0,South America,Books,3
C0007,2579.8199999999997,859.9399999999999,8,2.6666666666666665,Asia,Electronics,3
C0008,4271.61,427.16099999999994,20,2.0,North America,Home Decor,2
C0009,896.5,298.8333333333333,3,1.0,Europe,Clothing,1
C0010,1717.5500000000002,429.38750000000005,12,3.0,Europe,Clothing,2
C0011,3730.0,746.0,13,2.6,South America,Books,2
C0012,5231.259999999999,747.3228571428571,19,2.7142857142857144,South America,Home Decor,0
C0013,6000.56,857.2228571428572,18,2.5714285714285716,South America,Clothing,0
C0014,318.66,318.66,2,2.0,Europe,Home Decor,1
C0015,1157.48,578.74,4,2.0,North America,Books,1
C0016,3874.42,774.884,10,2.0,North America,Clothing,2
C0017,4753.82,594.2275,21,2.625,Europe,Books,0
C0018,4781.85,956.3700000000001,18,3.6,North America,Books,3
C0019,2185.8199999999997,364.3033333333333,11,1.8333333333333333,Europe,Books,1
C0020,922.41,922.41,3,3.0,North America,Electronics,3
C0021,5419.92,677.49,17,2.125,Asia,Books,2
C0022,4655.07,775.8449999999999,15,2.5,Asia,Clothing,2
C0023,5158.65,859.775,14,2.3333333333333335,Europe,Books,2
C0024,3627.02,518.1457142857142,14,2.0,North America,Books,2
C0025,1589.81,397.4525,8,2.0,South America,Home Decor,1
C0026,3549.05,887.2625,12,3.0,North America,Electronics,3
C0027,2562.94,640.735,12,3.0,Asia,Books,2
C0028,6819.57,852.44625,24,3.0,Asia,Electronics,0
C0029,1785.8700000000001,446.46750000000003,10,2.5,North America,Clothing,1
C0030,2549.6800000000003,509.93600000000004,13,2.6,North America,Clothing,2
C0031,2005.38,501.345,10,2.5,South America,Home Decor,2
C0032,673.0,224.33333333333334,5,1.6666666666666667,South America,Books,1
C0033,132.64,132.64,2,2.0,North America,Clothing,1
C0034,3073.2000000000003,512.2,17,2.8333333333333335,North America,Clothing,2
C0035,2587.61,646.9025,10,2.5,North America,Electronics,2
C0036,1877.96,625.9866666666667,8,2.6666666666666665,North America,Books,2
C0037,4252.77,850.5540000000001,14,2.8,Europe,Home Decor,3
C0038,2696.85,539.37,13,2.6,North America,Home Decor,2
C0039,4239.6,706.6,18,3.0,South America,Electronics,0
C0040,3969.3999999999996,1323.1333333333332,10,3.3333333333333335,Asia,Clothing,3
C0041,6149.78,878.54,23,3.2857142857142856,Europe,Books,0
C0042,2402.49,800.8299999999999,6,2.0,North America,Clothing,1
C0043,1131.3200000000002,377.10666666666674,6,2.0,Asia,Books,1
C0044,3230.1099999999997,1076.7033333333331,7,2.3333333333333335,Europe,Books,3
C0045,6021.8,860.2571428571429,23,3.2857142857142856,Asia,Electronics,0
C0046,5627.83,803.9757142857143,19,2.7142857142857144,North America,Books,0
C0047,2870.54,410.07714285714286,13,1.8571428571428572,North America,Books,1
C0048,3850.9399999999996,770.1879999999999,12,2.4,South America,Electronics,2
C0049,2315.48,289.435,17,2.125,North America,Clothing,1
C0050,3068.83,1022.9433333333333,8,2.6666666666666665,North America,Electronics,3
C0051,5699.57,814.2242857142857,16,2.2857142857142856,Europe,Electronics,0
C0052,2488.01,622.0025,10,2.5,South America,Home Decor,2
C0053,5316.46,886.0766666666667,18,3.0,Europe,Clothing,0
C0054,8040.389999999999,1005.0487499999999,24,3.0,Asia,Electronics,0
C0055,2857.6800000000003,571.5360000000001,12,2.4,North America,Electronics,2
C0056,3182.94,636.588,12,2.4,Asia,Clothing,2
C0057,4536.4,756.0666666666666,16,2.6666666666666665,Europe,Books,2
C0058,396.34,396.34,1,1.0,North America,Clothing,1
C0059,7073.28,884.16,21,2.625,North America,Home Decor,0
C0060,82.36,82.36,2,2.0,Europe,Home Decor,1
C0061,2138.26,712.7533333333334,6,2.0,Europe,Clothing,1
C0062,1639.54,546.5133333333333,8,2.6666666666666665,Europe,Clothing,1
C0063,1378.1699999999998,689.0849999999999,5,2.5,Europe,Books,1
